Id,LetterGrade,StudentId,TeacherId
c9efdc07-d3fa-4ea9-b97c-e2a394cd84ab,F-,b624a01f-0213-43b7-bea1-3ce80351d762,d9c2d18b-d4f7-4025-8f99-fa632c9cdb3c
e436f022-a37f-499d-9548-936675ec530b,C,ef297bc0-1631-4542-a54e-d11af625ffa2,a01f4ca7-c866-487f-adf0-b7ca62e1e94c
31e5096b-cf5b-4d67-b33c-61732194f434,F+,e9765089-ae4b-491d-b8bf-c9e7eecb6dbe,4bb6f462-9156-425c-a212-1223d414eef4
83e79ef8-50ca-4b4d-a017-9a13d8d2dfec,A+,b99816d8-45b0-4fc6-bd51-77ecad40fc35,1e72d1ee-accc-43f6-a215-81c2394c4e7c
88e974e5-02cd-4b20-81af-531055151938,D,d2b58bc8-11e7-4eb6-b394-f6ec2d8512ec,694c7824-5428-4fba-95f8-7fc8e5b48ecb
07b7229b-e6cf-47fe-9ce8-7ea80df5cf7d,C,3deb7df8-1024-4f6b-a96b-7dda6c2a8f64,6a64a9b6-5d90-46a1-8f08-db26b9ba3211
f7dc46da-aadc-49d7-b875-210275e1e04d,F,8d719f40-0599-4917-8a0b-cb28899f5028,7ed8c3a0-0ec9-41fe-bdae-705b18fb17fb
055f4478-8146-4f17-b435-930eefa0fdcb,A,3deb7df8-1024-4f6b-a96b-7dda6c2a8f64,26022f2e-cfa7-48d5-8a73-923c110cca20
b7acb4e9-f182-4f5d-bca4-995cc5bdcc67,B,2d0bd626-a255-4cd8-999f-23ee12e1789f,e45f06f2-b494-49af-b2a3-e5c66a508f6b
7af7a98f-b29e-4b16-96c3-a1a298112190,D,af6d2b6b-89d7-4d4e-81f6-4ecf2b5c80b3,173c5cd1-1850-40cb-b342-941deb58cf07
ee891461-00a1-488d-8b37-898487a00bf8,B,9b1614ef-94d9-453b-a723-1ddf6921dfaa,bce61f6d-ebd5-42e4-8627-a62f07562c34
0b7f2067-667e-4303-b0ed-e51b7e005048,A,3c75577c-919e-4f53-8d1b-34379b91aeb0,0010eac2-38be-45d4-a8fb-051b1b1a16a9
5e2671f3-c58f-407f-a903-880f1a9304df,A-,97f3eda1-7f31-4b52-a45f-879f9a38386a,1de30808-ade4-4f5f-86a8-d4fdd57165f9
6ae2c259-bb11-45bd-b1b4-4e63385035e6,F+,ee3a68c6-6ab4-438f-a4b1-40faabab90b5,222a0c52-efd7-4a04-9904-6cfef3f8ffcf
5828c93b-28a1-4ae8-9d91-4cf0e2ffaf9e,C,65a4c849-5644-4c2c-bacc-b4a165d57389,222a0c52-efd7-4a04-9904-6cfef3f8ffcf
862dc9c4-cb0c-4dc6-9d2d-4e62a8fa15af,A,77265626-d425-4b47-b7f2-5d081fc396a6,357d1c6a-cf51-4edd-b719-e171506d3542
d63f03c1-7326-490c-9e2f-1e64dead861c,F+,ee725fa0-7865-4eea-9f9d-8936dd4c12fb,3564934c-35e7-4f38-90b2-87a75e65759f
